"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1B: O2 concentration [µM]","1A: O2 slope neg. [pmol·s-1·mL-1]","1B: O2 slope neg. [pmol·s-1·mL-1]","1: Temperature [°C]","1: Peltier power [%]"
79.8667,"","","",530.131,520.71,195.956,188.722,37.001,10.115
79.9000,"","","",529.768,520.217,196.022,190.508,37.001,10.107
79.9333,"","","",529.317,520.048,196.427,191.844,37.001,10.09
79.9667,"","","",528.778,519.709,196.978,192.901,37,10.077
80.0000,"","","",528.467,519.216,197.195,194.087,37.001,10.064
80.0333,"","","",528.025,518.955,197.557,194.897,37,10.05
80.0667,"","","",527.496,518.505,198.122,195.968,36.999,10.078
80.1000,"","","",526.832,518.221,198.95,196.962,37.001,10.047
80.1333,"","","",526.356,517.841,199.824,197.915,37.001,10.046
80.1667,"","","",525.938,517.455,200.957,198.718,36.999,10.077
80.2000,"","","",525.564,517.146,202.078,199.24,36.998,10.096
80.2333,"","","",525.207,516.675,202.91,199.716,36.999,10.105
80.2667,"","","",524.902,516.239,203.335,200.233,36.999,10.124
80.3000,"","","",524.428,515.686,203.706,200.888,36.999,10.138
80.3333,"","","",524.035,515.197,204.367,201.59,36.998,10.169
80.3667,"","","",523.557,514.79,205.286,202.429,36.999,10.174
80.4000,"","","",523.121,514.277,205.951,203.467,37.001,10.14
80.4333,"","","",522.859,513.866,206.366,204.501,37.002,10.096
80.4667,"","","",522.54,513.39,206.473,205.344,37.001,10.113
80.5000,"","","",522.136,513.006,206.281,205.971,37.002,10.072
80.5333,"","","",521.624,512.698,206.229,206.22,37.001,10.075
80.5667,"","","",521.283,512.36,206.137,206.477,36.999,10.102
80.6000,"","","",520.928,512.142,206.225,206.125,36.998,10.17
80.6333,"","","",520.321,512.066,206.891,205.084,36.998,10.17
80.6667,"","","",519.967,512,207.306,203.81,36.998,10.187
80.7000,"","","",519.538,511.489,207.609,202.756,36.999,10.183
80.7333,"","","",519.171,510.936,207.555,201.917,37.001,10.154
80.7667,"","","",518.765,510.555,207.578,201.187,37.001,10.151
80.8000,"","","",518.316,510.163,207.818,200.41,37,10.177
80.8333,"","","",517.92,509.885,208.182,199.102,37.001,10.134
80.8667,"","","",517.518,509.627,208.444,197.637,37.003,10.09
80.9000,"","","",517.109,509.348,208.803,196.04,37.001,10.121
80.9333,"","","",516.724,509.107,209.289,193.98,36.999,10.152
80.9667,"","","",516.429,508.676,209.538,192.145,37,10.149
81.0000,"","","",516.003,508.29,209.511,190.476,37.001,10.122
81.0333,"","","",515.445,507.826,209.291,188.85,37.001,10.11
81.0667,"","","",514.979,507.23,208.72,187.651,37,10.124
81.1000,"","","",514.615,506.693,207.841,186.854,37,10.125
81.1333,"","","",514.261,506.2,207.209,186.811,36.999,10.158
81.1667,"","","",513.906,505.563,206.751,187.288,37,10.16
81.2000,"","","",513.471,505.084,206.18,188.255,37.001,10.141
81.2333,"","","",513.007,504.591,205.593,189.606,37,10.165
81.2667,"","","",512.502,504.164,205.223,190.598,36.999,10.182
81.3000,"","","",511.958,503.831,205.309,191.36,36.999,10.198
81.3333,"","","",511.416,503.341,205.406,192.477,37.001,10.146
81.3667,"","","",510.898,502.902,205.702,193.409,37.001,10.132
81.4000,"","","",510.424,502.547,206.276,194.351,37.002,10.121
81.4333,"","","",510.026,502.096,207.253,195.167,37.001,10.106
81.4667,"","","",509.68,501.661,208.201,195.998,37.002,10.086
81.5000,"","","",509.257,501.21,209.162,196.877,37,10.109
81.5333,"","","",508.933,500.77,209.871,197.63,37,10.134
81.5667,"","","",508.596,500.384,210.322,198.459,37,10.129
81.6000,"","","",508.181,500.059,210.561,199.195,36.999,10.168
81.6333,"","","",507.705,499.773,211.013,200,37,10.168
81.6667,"","","",507.203,499.351,211.571,201.023,37,10.175
81.7000,"","","",506.799,498.885,212.207,202.195,37.001,10.136
81.7333,"","","",506.434,498.36,212.778,203.822,37.001,10.127
81.7667,"","","",505.889,497.893,213.284,205.601,37.001,10.106
81.8000,"","","",505.573,497.577,213.389,207.376,37.001,10.098
81.8333,"","","",505.294,497.168,213.191,209.154,37.001,10.086
81.8667,"","","",504.87,496.722,213.173,210.852,36.999,10.117
81.9000,"","","",504.377,496.332,213.142,212.417,37.001,10.09
81.9333,"","","",503.85,495.911,213.17,213.666,37,10.094
81.9667,"","","",503.393,495.553,213.6,214.196,37.001,10.059
82.0000,"","","",502.946,495.193,213.942,213.96,37.001,10.056
82.0333,"","","",502.504,494.719,214.319,213.996,36.998,10.109
82.0667,"","","",502.068,494.349,214.602,214.2,36.999,10.121
82.1000,"","","",501.558,493.913,214.994,214.381,36.999,10.124
82.1333,"","","",501.155,493.52,215.374,214.471,37,10.127
82.1667,"","","",500.736,493.18,215.671,214.158,37,10.139
82.2000,"","","",500.387,492.835,215.768,213.404,37,10.12
82.2333,"","","",500.017,492.465,215.721,212.289,37,10.123
82.2667,"","","",499.544,491.976,215.676,210.947,37,10.125
82.3000,"","","",499.016,491.568,215.552,209.573,37,10.111
82.3333,"","","",498.559,491.323,215.451,207.785,37,10.111
82.3667,"","","",498.214,490.964,215.415,205.954,36.999,10.136
82.4000,"","","",497.899,490.559,215.238,204.429,37,10.123
82.4333,"","","",497.441,490.143,214.994,203.136,37.001,10.106
82.4667,"","","",497.059,489.578,214.52,202.271,36.999,10.147
82.5000,"","","",496.612,489.135,213.932,201.881,37,10.146
82.5333,"","","",496.341,488.81,213.056,201.465,36.999,10.173
82.5667,"","","",496.027,488.434,212.038,201.159,37.001,10.137
82.6000,"","","",495.499,488.033,211.363,200.892,37.001,10.145
82.6333,"","","",495.12,487.587,210.835,200.568,37,10.127
82.6667,"","","",494.619,487.158,210.685,200.446,37,10.125
82.7000,"","","",494.288,486.908,210.562,200.108,37,10.113
82.7333,"","","",493.934,486.405,210.438,199.872,37,10.121
82.7667,"","","",493.444,486.029,210.431,199.679,36.999,10.152
82.8000,"","","",493.064,485.596,210.227,199.606,37,10.155
82.8333,"","","",492.651,485.171,210.034,199.669,36.999,10.192
82.8667,"","","",492.302,484.573,209.544,200.169,37,10.185
82.9000,"","","",491.799,484.272,209.062,200.441,37,10.196
82.9333,"","","",491.246,483.862,208.815,200.578,37.001,10.178
82.9667,"","","",490.807,483.477,208.698,200.45,36.999,10.215
83.0000,"","","",490.4,483.08,208.704,200.329,37,10.192
83.0333,"","","",489.975,482.762,208.69,200.161,37.002,10.152
83.0667,"","","",489.505,482.357,208.658,200.231,37.002,10.148
83.1000,"","","",489.188,481.976,208.665,200.394,37.002,10.112
83.1333,"","","",488.736,481.5,208.54,200.545,37.002,10.104
83.1667,"","","",488.319,481.204,208.137,200.515,37.002,10.087
83.2000,"","","",487.884,480.847,207.752,200.496,37.001,10.097
83.2333,"CYTOC","Both","",487.354,480.415,207.692,200.531,37.002,10.063
83.2667,"","","",486.695,480.002,208.254,200.636,37.002,10.049
83.3000,"","","",486.013,479.577,209.332,200.715,37,10.09
83.3333,"","","",485.484,479.265,210.608,200.558,37,10.067
83.3667,"","","",485.01,478.895,211.963,200.495,36.999,10.108
83.4000,"","","",484.625,478.415,213.219,200.538,36.999,10.108
83.4333,"","","",484.294,477.894,214.425,200.877,37.001,10.095
83.4667,"","","",483.932,477.318,215.449,201.523,37,10.092
83.5000,"","","",483.333,476.607,216.759,202.603,37,10.068
83.5333,"","","",482.753,476.163,218.168,203.605,37,10.083
83.5667,"","","",482.217,475.677,219.616,204.644,36.999,10.097
83.6000,"","","",481.755,475.262,221.147,205.806,37.001,10.061
83.6333,"","","",481.398,474.87,222.68,206.903,37.001,10.061
83.6667,"","","",481.041,474.361,224.09,207.835,36.999,10.085
83.7000,"","","",480.772,473.996,225.012,208.534,37,10.098
83.7333,"","","",480.408,473.527,225.571,209.278,37,10.085
83.7667,"","","",479.97,473.101,226.17,210.006,37.001,10.075
83.8000,"","","",479.494,472.787,226.735,210.795,36.999,10.099
83.8333,"","","",478.882,472.353,227.633,211.654,37,10.073
83.8667,"","","",478.281,472.005,228.486,212.2,36.999,10.097
83.9000,"","","",477.727,471.493,229.263,212.83,37.001,10.049
83.9333,"","","",477.269,471.104,230.177,213.353,37.001,10.032
83.9667,"","","",476.739,470.771,231.081,213.756,37.001,10.023
84.0000,"","","",476.31,470.325,232.008,214.222,37.001,9.999
84.0333,"","","",475.869,469.894,232.661,214.377,36.999,10.036
84.0667,"","","",475.465,469.623,233.003,214.4,36.999,10.033
84.1000,"","","",475.054,469.392,233.309,213.994,36.998,10.09
84.1333,"","","",474.775,469.003,233.13,213.571,36.999,10.073
84.1667,"","","",474.329,468.574,232.845,213.194,37,10.086
84.2000,"","","",473.778,468.073,232.52,213.327,36.998,10.124
84.2333,"","","",473.314,467.511,232.274,213.518,36.997,10.151
84.2667,"","","",472.788,467.01,232.321,213.843,36.999,10.143
84.3000,"","","",472.34,466.716,232.3,213.865,36.999,10.15
84.3333,"","","",471.885,466.412,232.16,213.633,37,10.165
84.3667,"","","",471.417,466.057,231.958,213.099,37.001,10.127
84.4000,"","","",471.025,465.583,231.635,212.643,36.998,10.199
84.4333,"","","",470.665,465.151,230.846,212.136,36.998,10.188
84.4667,"","","",470.3,464.794,229.856,211.621,37,10.18
84.5000,"","","",469.782,464.44,228.887,210.754,37,10.175
84.5333,"","","",469.326,464.142,227.85,209.547,36.999,10.218
84.5667,"","","",468.874,463.732,226.918,208.354,37,10.185
84.6000,"","","",468.414,463.233,226.362,207.302,37,10.184
84.6333,"","","",468.022,462.885,226.119,206.131,37,10.184
84.6667,"","","",467.669,462.44,225.851,204.809,37.001,10.168
84.7000,"","","",467.26,462.077,225.574,203.283,37,10.175
84.7333,"","","",466.747,461.667,225.308,201.854,37.003,10.116
84.7667,"","","",466.254,461.317,224.904,200.495,37.004,10.081
84.8000,"","","",465.798,460.916,224.339,199.422,37.003,10.082
84.8333,"","","",465.349,460.502,224.045,198.935,37.003,10.069
84.8667,"","","",464.885,460.078,224.028,198.567,37.002,10.055
84.9000,"","","",464.434,459.691,224.191,198.334,37.001,10.053
84.9333,"","","",463.992,459.223,224.382,198.253,37.001,10.042
84.9667,"","","",463.583,458.776,224.343,198.24,37.001,10.021
85.0000,"","","",463.231,458.322,223.962,198.526,36.997,10.086
85.0333,"","","",462.85,457.897,223.125,198.787,36.998,10.08
85.0667,"","","",462.435,457.487,222.066,199.19,36.997,10.127
85.1000,"","","",462.007,457.175,220.945,199.479,36.998,10.115
85.1333,"","","",461.515,456.738,219.956,199.678,36.998,10.135
85.1667,"","","",461.154,456.205,219.117,200.179,36.997,10.158
85.2000,"","","",460.777,455.838,218.459,200.506,36.997,10.173
85.2333,"","","",460.3,455.377,218.098,201.144,36.997,10.187
85.2667,"","","",459.915,455.064,217.689,201.591,36.998,10.201
85.3000,"","","",459.383,454.625,217.644,201.977,37,10.179
85.3333,"","","",458.912,454.154,217.655,202.567,37,10.188
85.3667,"","","",458.424,453.846,217.776,203.033,36.999,10.22
85.4000,"","","",458.004,453.545,217.805,203.065,36.999,10.233
85.4333,"","","",457.565,453.061,217.79,202.919,37.001,10.211
85.4667,"","","",457.163,452.617,217.406,202.801,37.001,10.174
85.5000,"","","",456.786,452.222,216.918,202.693,37.001,10.167
85.5333,"","","",456.459,451.748,216.441,202.883,37,10.175
85.5667,"","","",456.107,451.312,215.876,203.419,36.999,10.198
85.6000,"","","",455.74,450.961,215.381,204.042,36.999,10.234
85.6333,"","","",455.345,450.629,214.87,204.333,36.999,10.229
85.6667,"","","",454.848,450.365,214.547,204.179,37,10.24
85.7000,"","","",454.282,450.014,214.562,203.846,37,10.252
85.7333,"","","",453.671,449.56,214.843,203.751,37.001,10.234
85.7667,"","","",453.254,449.141,214.951,203.748,37.001,10.199
85.8000,"","","",452.914,448.723,214.748,203.695,37.001,10.183
85.8333,"","","",452.396,448.277,214.857,203.633,37.002,10.145
85.8667,"","","",451.853,447.974,215.207,203.18,37.002,10.122
85.9000,"","","",451.451,447.562,215.522,202.753,37.003,10.103
85.9333,"","","",451.05,447.205,215.821,202.422,37.002,10.092
85.9667,"","","",450.592,446.844,216.082,201.916,37.001,10.095
86.0000,"","","",450.154,446.419,216.187,201.54,37,10.119
86.0333,"","","",449.831,446.034,216.029,201.062,36.999,10.167
86.0667,"","","",449.392,445.664,216.026,200.545,36.998,10.175
86.1000,"","","",448.924,445.22,216.198,200.013,37.001,10.124
86.1333,"","","",448.446,444.806,216.495,199.498,37.002,10.122
86.1667,"","","",448.083,444.36,216.692,199.085,37.002,10.089
86.2000,"","","",447.614,443.973,217.02,198.681,37.003,10.063
86.2333,"","","",447.092,443.634,217.551,198.13,37.001,10.079
86.2667,"","","",446.689,443.244,218.039,197.685,37.001,10.051
86.3000,"","","",446.223,442.818,218.544,197.382,37,10.039
86.3333,"","","",445.686,442.508,219.081,197.02,37,10.055
86.3667,"","","",445.252,442.142,219.498,196.662,36.998,10.07
86.4000,"","","",444.821,441.75,219.851,196.333,36.998,10.109
86.4333,"","","",444.339,441.366,220.256,195.829,36.998,10.105
86.4667,"","","",443.923,440.906,220.711,195.524,37,10.121
86.5000,"","","",443.437,440.429,221.099,195.631,36.998,10.159
86.5333,"","","",442.912,440.038,221.51,195.68,36.999,10.147
86.5667,"","","",442.494,439.718,221.928,195.718,37,10.133
86.6000,"","","",442.047,439.367,222.234,195.53,37,10.129
86.6333,"","","",441.6,438.976,222.705,195.43,37,10.125
86.6667,"","","",441.19,438.626,223.162,195.408,37,10.131
86.7000,"","","",440.817,438.257,223.578,195.197,36.999,10.159
86.7333,"","","",440.357,437.819,223.991,194.903,37,10.161
86.7667,"","","",439.894,437.395,224.438,194.84,37,10.179
86.8000,"","","",439.456,436.972,224.803,194.936,37,10.184
86.8333,"","","",439.127,436.547,224.835,195.101,37.002,10.14
86.8667,"","","",438.641,436.082,224.727,195.559,37,10.151
86.9000,"","","",438.221,435.771,224.394,195.954,37,10.151
86.9333,"","","",437.771,435.415,223.912,196.217,36.998,10.197
86.9667,"","","",437.29,435.053,223.383,196.323,37.001,10.157
87.0000,"","","",436.79,434.686,223.03,196.146,37.001,10.144
87.0333,"","","",436.398,434.33,222.788,195.823,37.001,10.123
87.0667,"","","",435.931,433.905,222.899,195.681,37.001,10.107
87.1000,"","","",435.519,433.463,222.903,195.684,37.001,10.097
87.1333,"","","",435.133,433.038,222.601,195.797,37,10.103
87.1667,"","","",434.701,432.719,222.417,195.882,37,10.112
87.2000,"","","",434.268,432.333,222.408,195.795,36.999,10.154
87.2333,"","","",433.876,431.876,222.242,195.869,36.998,10.192
87.2667,"","","",433.38,431.435,222.105,195.966,36.999,10.182
87.3000,"","","",432.978,431.1,221.928,195.891,36.999,10.196
87.3333,"","","",432.514,430.73,221.788,195.832,37,10.176
87.3667,"","","",432.026,430.308,221.508,195.815,37.001,10.151
87.4000,"","","",431.544,429.898,221.285,195.782,37,10.144
87.4333,"","","",431.082,429.541,221.132,195.779,37.001,10.121
87.4667,"","","",430.702,429.137,220.919,195.839,37.001,10.11
87.5000,"","","",430.402,428.781,220.288,195.939,37,10.125
87.5333,"","","",429.963,428.47,219.704,195.89,36.999,10.147
87.5667,"","","",429.479,428.091,219.355,195.731,36.998,10.181
87.6000,"","","",428.992,427.69,219.018,195.597,36.998,10.188
87.6333,"","","",428.545,427.213,218.734,195.696,37,10.191
87.6667,"","","",428.194,426.762,218.467,195.754,37,10.21
87.7000,"","","",427.721,426.436,218.259,195.633,37,10.2
87.7333,"","","",427.197,426.11,218.193,195.389,37,10.219
87.7667,"","","",426.783,425.729,218.159,195.115,37.002,10.166
87.8000,"","","",426.412,425.258,217.956,195.12,37.002,10.164
87.8333,"","","",425.973,424.932,217.848,195.169,37.001,10.158
87.8667,"PCR1","Both","",425.55,424.502,217.886,195.305,37,10.144
87.9000,"","","",425.267,424.117,217.616,195.301,37,10.131
87.9333,"","","",424.815,423.778,217.418,195.13,37.001,10.119
87.9667,"","","",424.307,423.443,217.391,194.861,36.999,10.159
88.0000,"","","",423.793,422.928,217.469,194.749,36.999,10.162
88.0333,"","","",423.3,422.568,217.537,194.534,37,10.174
88.0667,"","","",422.873,422.16,217.626,194.437,37.002,10.116
88.1000,"","","",422.444,421.702,217.749,194.523,37.001,10.121
88.1333,"","","",422.006,421.33,217.879,194.63,37.001,10.116
88.1667,"","","",421.492,420.944,217.945,194.792,36.999,10.151
88.2000,"","","",420.928,420.545,218.323,195.118,37,10.123
88.2333,"","","",420.481,420.12,218.667,195.361,37,10.113
88.2667,"","","",420.04,419.655,219.018,195.669,36.998,10.169
88.3000,"","","",419.562,419.316,219.504,195.817,36.999,10.156
88.3333,"","","",419.134,418.846,220.073,196.053,36.998,10.206
88.3667,"","","",418.672,418.485,220.583,196.148,36.999,10.203
88.4000,"","","",418.274,418.163,221.056,196.162,36.999,10.217
88.4333,"","","",417.839,417.923,221.463,195.989,37,10.225
88.4667,"","","",417.456,417.611,221.652,195.746,37,10.215
88.5000,"","","",417.007,417.197,221.835,195.428,37,10.22
88.5333,"","","",416.605,416.793,221.927,195.136,36.999,10.264
88.5667,"","","",416.23,416.401,221.801,194.98,37,10.255
88.6000,"","","",415.82,416.067,221.725,194.832,36.999,10.286
88.6333,"","","",415.304,415.693,221.719,194.572,36.999,10.298
88.6667,"","","",414.858,415.35,221.762,194.204,37.001,10.266
88.7000,"","","",414.453,414.941,221.829,193.955,37.001,10.249
88.7333,"","","",414.042,414.611,221.926,193.654,37.002,10.195
88.7667,"","","",413.599,414.261,222.079,193.247,37.002,10.179
88.8000,"","","",413.185,413.754,222.079,193.11,37.002,10.17
88.8333,"","","",412.857,413.367,221.614,192.923,37.002,10.16
88.8667,"","","",412.5,413,221,192.56,37.002,10.119
88.9000,"","","",412.126,412.645,220.363,192.123,37.002,10.131
88.9333,"","","",411.698,412.344,219.819,191.56,37,10.122
88.9667,"","","",411.199,412.017,219.424,191.072,37,10.133
89.0000,"","","",410.677,411.666,219.033,190.669,37.001,10.105
89.0333,"","","",410.286,411.318,218.621,190.113,37.001,10.085
89.0667,"","","",409.768,410.919,218.529,189.494,37,10.088
89.1000,"","","",409.317,410.573,218.424,188.816,36.999,10.11
89.1333,"","","",408.877,410.252,218.201,188.211,36.997,10.169
89.1667,"","","",408.504,409.876,217.856,187.512,36.997,10.163
89.2000,"","","",408.105,409.48,217.417,186.952,36.997,10.205
89.2333,"","","",407.699,409.102,216.629,186.414,36.997,10.219
89.2667,"","","",407.272,408.802,215.842,185.67,36.996,10.236
89.3000,"","","",406.829,408.419,215.198,184.864,36.997,10.254
89.3333,"","","",406.393,407.92,214.7,184.551,36.998,10.266
89.3667,"","","",406.013,407.555,214.214,184.192,36.997,10.274
89.4000,"","","",405.628,407.224,213.631,183.815,36.999,10.268
89.4333,"","","",405.172,406.965,213.088,183.392,37,10.27
89.4667,"","","",404.758,406.704,212.524,182.777,36.998,10.306
89.5000,"","","",404.336,406.265,212.103,182.336,36.999,10.322
89.5333,"","","",403.933,405.787,211.895,182.161,37.001,10.28
89.5667,"","","",403.556,405.417,211.643,182.096,37.002,10.258
89.6000,"","","",403.157,405.062,211.38,182.194,37.002,10.24
89.6333,"","","",402.738,404.645,211.218,182.339,37.002,10.216
89.6667,"","","",402.244,404.315,211.206,182.614,37.002,10.208
89.7000,"","","",401.825,404.017,211.264,182.766,37.003,10.176
89.7333,"","","",401.394,403.654,211.295,182.843,37.003,10.155
89.7667,"","","",400.941,403.225,211.409,182.806,37.003,10.144
89.8000,"","","",400.483,402.815,211.513,182.741,37.001,10.137
89.8333,"","","",400.079,402.409,211.625,182.826,37.001,10.136
89.8667,"","","",399.644,401.992,211.719,183.065,37.001,10.115
89.9000,"","","",399.205,401.643,211.746,183.306,36.999,10.159
89.9333,"","","",398.847,401.302,211.619,183.428,36.999,10.179
89.9667,"","","",398.495,400.929,211.536,183.568,36.998,10.195
90.0000,"","","",398.122,400.565,211.417,183.647,36.998,10.225
90.0333,"","","",397.735,400.234,211.216,183.732,36.999,10.218
90.0667,"","","",397.241,399.905,211.14,183.673,36.999,10.246
90.1000,"","","",396.847,399.57,211.058,183.521,36.999,10.251
90.1333,"","","",396.465,399.242,210.9,183.565,36.999,10.274
90.1667,"","","",396.029,398.751,210.603,183.891,36.999,10.286
90.2000,"","","",395.606,398.362,210.188,184.262,37,10.266
90.2333,"","","",395.205,397.984,209.641,184.635,37,10.279
90.2667,"","","",394.837,397.616,209.004,184.886,37,10.282
90.3000,"","","",394.34,397.236,208.652,185.078,37,10.273
90.3333,"","","",393.878,396.859,208.569,185.25,37.003,10.219
90.3667,"","","",393.433,396.474,208.474,185.405,36.998,10.303
90.4000,"","","",392.968,396.106,208.644,185.608,36.999,10.289
90.4333,"","","",392.571,395.878,208.834,185.502,37,10.276
90.4667,"","","",392.278,395.451,208.836,185.418,36.999,10.31
90.5000,"","","",391.806,395.084,208.86,185.34,36.999,10.311
90.5333,"","","",391.384,394.699,208.856,185.339,36.997,10.366
90.5667,"","","",390.936,394.326,208.884,185.361,36.997,10.39
90.6000,"","","",390.412,393.889,209.119,185.373,37,10.347
90.6333,"","","",389.971,393.536,209.432,185.368,37.002,10.299
90.6667,"","","",389.64,393.189,209.609,185.562,37.004,10.266
90.7000,"","","",389.386,392.841,209.408,185.711,37.004,10.262
90.7333,"","","",389.022,392.417,209.054,185.893,37.003,10.26
90.7667,"","","",388.628,392.09,208.74,185.782,37.002,10.242
90.8000,"","","",388.203,391.746,208.446,185.408,37.002,10.225
90.8333,"","","",387.842,391.424,208.073,185.063,37,10.244
90.8667,"","","",387.398,391.053,207.74,184.924,37.001,10.21
90.9000,"","","",386.836,390.721,207.607,184.722,37.003,10.161
90.9333,"","","",386.334,390.374,207.592,184.459,37.001,10.168
90.9667,"","","",385.849,389.91,207.692,184.469,37.002,10.14
91.0000,"","","",385.442,389.536,207.9,184.414,37.002,10.142
91.0333,"","","",385.079,389.294,208.004,183.989,37,10.159
91.0667,"","","",384.667,388.989,208.119,183.439,37,10.166
91.1000,"","","",384.269,388.677,208.264,182.91,37,10.163
91.1333,"","","",383.873,388.238,208.451,182.608,37.001,10.126
91.1667,"","","",383.377,387.781,208.762,182.554,36.999,10.173
91.2000,"","","",382.9,387.395,209.216,182.636,36.998,10.235
91.2333,"","","",382.597,387.104,209.5,182.553,36.997,10.238
91.2667,"","","",382.391,386.848,209.289,182.228,36.998,10.235
91.3000,"","","",382.131,386.438,208.687,182.016,37.001,10.208
91.3333,"","","",381.798,385.994,207.878,181.957,37,10.198
91.3667,"","","",381.342,385.586,207.116,181.913,37.001,10.172
91.4000,"","","",380.883,385.189,206.605,181.854,37,10.174
91.4333,"","","",380.456,384.859,206.098,181.663,37.001,10.135
91.4667,"","","",380.053,384.598,205.525,181.199,37.001,10.125
91.5000,"","","",379.562,384.165,205.148,181.099,37,10.13
91.5333,"","","",379.06,383.684,204.959,181.257,36.999,10.156
91.5667,"","","",378.573,383.369,204.881,181.343,36.998,10.191
91.6000,"","","",378.17,382.961,204.688,181.512,36.998,10.205
91.6333,"PCR2","Both","",377.819,382.629,204.53,181.643,37,10.171
91.6667,"","","",377.385,382.27,204.503,181.787,36.999,10.23
91.7000,"","","",376.913,381.785,204.647,182.19,37,10.192
91.7333,"","","",376.491,381.479,204.908,182.481,37,10.217
91.7667,"","","",376.185,381.181,204.948,182.384,37.001,10.172
91.8000,"","","",375.788,380.765,204.74,182.49,37.002,10.158
91.8333,"","","",375.345,380.392,204.703,182.606,37.001,10.17
91.8667,"","","",374.813,380.062,204.905,182.688,37,10.187
91.9000,"","","",374.366,379.779,205.231,182.633,36.999,10.191
91.9333,"","","",373.908,379.454,205.851,182.648,37,10.198
91.9667,"","","",373.587,379.083,206.357,182.667,37.001,10.18
92.0000,"","","",373.16,378.694,206.744,182.708,37,10.197
92.0333,"","","",372.758,378.289,206.808,182.8,37.001,10.143
92.0667,"","","",372.418,377.895,206.633,183.062,37,10.155
92.1000,"","","",371.983,377.667,206.455,183.008,37,10.156
92.1333,"","","",371.53,377.422,206.361,182.713,36.999,10.181
92.1667,"","","",371.099,377.044,206.187,182.382,36.999,10.201
92.2000,"","","",370.715,376.601,205.998,182.227,36.998,10.223
92.2333,"","","",370.367,376.246,205.961,182.005,36.999,10.231
92.2667,"","","",369.921,376.031,206.16,181.485,37,10.24
92.3000,"","","",369.558,375.671,206.418,181.17,37,10.249
92.3333,"","","",369.128,375.226,206.715,181.052,37,10.235
92.3667,"","","",368.768,374.886,206.839,180.679,37.001,10.241
92.4000,"","","",368.421,374.545,206.86,180.166,36.999,10.269
92.4333,"","","",368.08,374.187,206.746,179.553,36.999,10.277
92.4667,"","","",367.657,373.766,206.647,179.195,36.999,10.296
92.5000,"","","",367.209,373.387,206.802,179.051,36.999,10.313
92.5333,"","","",366.821,373.048,207.067,178.919,37,10.302
92.5667,"","","",366.44,372.71,207.104,178.618,37.001,10.282
92.6000,"","","",365.94,372.298,206.935,178.214,37,10.283
92.6333,"","","",365.533,372.014,206.469,177.753,37.001,10.247
92.6667,"","","",365.204,371.647,205.687,177.465,37.003,10.196
92.7000,"","","",364.87,371.328,204.836,177.199,37.003,10.194
92.7333,"","","",364.531,370.951,203.944,177.048,37.002,10.181
92.7667,"","","",364.176,370.525,202.987,176.976,37.001,10.182
92.8000,"","","",363.802,370.12,201.963,176.802,37.003,10.147
92.8333,"","","",363.413,369.76,201.07,176.759,37.001,10.155
92.8667,"","","",363.001,369.438,200.381,176.879,37.001,10.139
92.9000,"","","",362.55,369.147,199.948,176.802,36.999,10.171
